"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"8452","G","Carey","Price","5.8","66","9400","MON@TOR","MON","TOR","","","",""
"8532","G","Henrik","Lundqvist","5.3","46","9200","NYR@CHI","NYR","CHI","","","",""
"8412","G","Jon","Quick","4.3","72","8800","SJ@LA","LA","SJ","","","",""
"8273","G","Corey","Crawford","4.9","57","8700","NYR@CHI","CHI","NYR","","","",""
"40050","G","Antti","Raanta","5.2","14","8600","NYR@CHI","NYR","CHI","","","",""
"8262","RW","Patrick","Kane","4.1","61","8400","NYR@CHI","CHI","NYR","","","",""
"8212","G","Ryan","Miller","4.7","45","8400","VAN@CGY","VAN","CGY","","","",""
"42709","G","Scott","Darling","5.7","14","8400","NYR@CHI","CHI","NYR","","","",""
"8152","G","Jonas","Hiller","4.2","52","8300","VAN@CGY","CGY","VAN","","","",""
"8302","LW","Rick","Nash","4.4","79","8300","NYR@CHI","NYR","CHI","","","",""
"9366","G","Dustin","Tokarski","3.8","17","8200","MON@TOR","MON","TOR","","","",""
"8441","LW","Max","Pacioretty","4.3","80","8200","MON@TOR","MON","TOR","","","",""
"8780","G","Jonathan","Bernier","4","58","7900","MON@TOR","TOR","MON","","","",""
"8615","LW","Joe","Pavelski","3.9","82","7800","SJ@LA","SJ","LA","","","",""
"9269","C","Logan","Couture","3.4","82","7700","SJ@LA","SJ","LA","","","",""
"8254","C","Jonathan","Toews","3.5","81","7400","NYR@CHI","CHI","NYR","","","",""
"9005","G","Jhonas","Enroth","3.7","50","7400","SJ@LA","LA","SJ","","","",""
"9278","G","Martin","Jones","3","15","7100","SJ@LA","SJ","LA","","","",""
"11184","G","Richard","Bachman","3.8","7","7100","VAN@CGY","VAN","CGY","","","",""
"9252","G","Alex","Stalock","3.4","22","7000","SJ@LA","SJ","LA","","","",""
"12283","G","Jacob","Markstrom","1.6","3","7000","VAN@CGY","VAN","CGY","","","",""
"8522","RW","Marian","Gaborik","3.1","69","6800","SJ@LA","LA","SJ","","","",""
"9052","G","James","Reimer","3.3","35","6800","MON@TOR","TOR","MON","","","",""
"8698","LW","Daniel","Sedin","3.5","82","6800","VAN@CGY","VAN","CGY","","","",""
"8619","LW","Patrick","Marleau","2.7","82","6700","SJ@LA","SJ","LA","","","",""
"41389","C","Sean","Monahan","3.1","81","6600","VAN@CGY","CGY","VAN","","","",""
"8583","RW","Radim","Vrbata","3.6","79","6600","VAN@CGY","VAN","CGY","","","",""
"9107","D","P.K.","Subban","3.1","82","6600","MON@TOR","MON","TOR","","","",""
"8263","RW","Marian","Hossa","3.4","82","6500","NYR@CHI","CHI","NYR","","","",""
"54514","LW","Johnny","Gaudreau","3","80","6500","VAN@CGY","CGY","VAN","","","",""
"66780","G","Michael","McNiven","0","0","6500","MON@TOR","MON","TOR","","","",""
"16927","G","Karri","Ramo","3.8","34","6500","VAN@CGY","CGY","VAN","","","",""
"12240","G","Edward","Pasquale","0","0","6500","MON@TOR","MON","TOR","","","",""
"12448","C","Derek","Stepan","3.3","68","6500","NYR@CHI","NYR","CHI","","","",""
"8555","C","Jeff","Carter","3.2","82","6400","SJ@LA","LA","SJ","DTD","Undisclosed","",""
"8294","C","Derick","Brassard","2.9","80","6300","NYR@CHI","NYR","CHI","DTD","Wrist","",""
"8394","C","Anze","Kopitar","2.7","79","6300","SJ@LA","LA","SJ","","","",""
"8426","D","Brent","Burns","3.1","82","6300","SJ@LA","SJ","LA","","","",""
"8230","D","Mark","Giordano","3.3","61","6200","VAN@CGY","CGY","VAN","","","",""
"8266","D","Duncan","Keith","2.4","80","6000","NYR@CHI","CHI","NYR","","","",""
"8436","C","Tomas","Plekanec","3.3","82","6000","MON@TOR","MON","TOR","","","",""
"8797","LW","James","van Riemsdyk","2.7","82","5900","MON@TOR","TOR","MON","","","",""
"21927","LW","Chris","Kreider","2.9","80","5800","NYR@CHI","NYR","CHI","","","",""
"12494","RW","Jiri","Hudler","3.5","78","5800","VAN@CGY","CGY","VAN","","","",""
"12624","RW","Tyler","Toffoli","3.1","76","5700","SJ@LA","LA","SJ","","","",""
"9079","D","Keith","Yandle","2.4","84","5700","NYR@CHI","NYR","CHI","","","",""
"8187","D","Dennis","Wideman","2.8","80","5600","VAN@CGY","CGY","VAN","","","",""
"12253","RW","Mats","Zuccarello Aasen","2.6","78","5600","NYR@CHI","NYR","CHI","","","",""
"15306","RW","Brendan","Gallagher","3","82","5500","MON@TOR","MON","TOR","","","",""
"8406","D","Drew","Doughty","2.6","82","5500","SJ@LA","LA","SJ","","","",""
"12411","D","Ryan","McDonagh","2.4","71","5500","NYR@CHI","NYR","CHI","","","",""
"8614","C","Joe","Thornton","2.7","78","5500","SJ@LA","SJ","LA","","","",""
"8178","LW","Milan","Lucic","2.5","81","5400","SJ@LA","LA","SJ","","","",""
"8741","C","Nazem","Kadri","2.3","73","5400","MON@TOR","TOR","MON","","","",""
"8310","D","Kris","Russell","1.8","79","5100","VAN@CGY","CGY","VAN","","","",""
"8384","RW","Michael","Frolik","2.4","82","5000","VAN@CGY","CGY","VAN","","","",""
"8694","C","Henrik","Sedin","2.8","82","5000","VAN@CGY","VAN","CGY","","","",""
"23233","C","Alex","Galchenyuk","2.5","80","4900","MON@TOR","MON","TOR","","","",""
"9189","C","Mikael","Backlund","2.2","52","4800","VAN@CGY","CGY","VAN","","","",""
"15356","D","Dougie","Hamilton","2.6","72","4700","VAN@CGY","CGY","VAN","","","",""
"8709","D","Alexander","Edler","2.3","74","4700","VAN@CGY","VAN","CGY","","","",""
"8446","D","Andrei","Markov","2.6","81","4700","MON@TOR","MON","TOR","","","",""
"8267","D","Brent","Seabrook","1.9","82","4600","NYR@CHI","CHI","NYR","","","",""
"8703","RW","Alex","Burrows","2.3","70","4600","VAN@CGY","VAN","CGY","","","",""
"8327","D","Trevor","Daley","2","68","4500","NYR@CHI","CHI","NYR","","","",""
"11204","D","Jacob","Muzzin","2.2","76","4500","SJ@LA","LA","SJ","DTD","Upperbody","",""
"58990","RW","Kevin","Hayes","2.2","79","4500","NYR@CHI","NYR","CHI","","","",""
"11293","RW","Joe","Colborne","1.7","64","4400","VAN@CGY","CGY","VAN","O","Thumb","",""
"12288","RW","Tommy","Wingels","2.1","75","4400","SJ@LA","SJ","LA","","","",""
"8626","D","Dan","Boyle","1.9","65","4400","NYR@CHI","NYR","CHI","","","",""
"8833","RW","Pierre","Parenteau","1.8","56","4300","MON@TOR","TOR","MON","","","",""
"8518","LW","Christopher","Higgins","2.2","77","4300","VAN@CGY","VAN","CGY","O","Foot","",""
"39870","LW","Tanner","Pearson","2.1","42","4300","SJ@LA","LA","SJ","","","",""
"11158","D","T.J.","Brodie","2.1","81","4300","VAN@CGY","CGY","VAN","O","Hand","",""
"8722","RW","Alexander","Semin","1.4","57","4200","MON@TOR","MON","TOR","","","",""
"15281","LW","Andrew","Shaw","1.7","79","4200","NYR@CHI","CHI","NYR","","","",""
"15360","LW","J.T.","Miller","1.8","58","4200","NYR@CHI","NYR","CHI","","","",""
"37881","D","Morgan","Rielly","1.4","81","4200","MON@TOR","TOR","MON","","","",""
"8270","D","Niklas","Hjalmarsson","1.4","82","4100","NYR@CHI","CHI","NYR","","","",""
"12645","LW","Devante","Smith-Pelly","1.3","74","4100","MON@TOR","MON","TOR","","","",""
"58332","LW","Samuel","Bennett","1.4","1","4100","VAN@CGY","CGY","VAN","","","",""
"8301","LW","Raffi","Torres","4.5","5","4100","SJ@LA","SJ","LA","","","",""
"8720","LW","Tomas","Fleischmann","2","66","4100","MON@TOR","MON","TOR","","","",""
"8972","C","Tyler","Bozak","2.1","82","4100","MON@TOR","TOR","MON","","","",""
"15381","RW","Ryan","Garbutt","1.8","67","4100","NYR@CHI","CHI","NYR","","","",""
"8811","LW","Jannik","Hansen","1.7","81","4000","VAN@CGY","VAN","CGY","","","",""
"8228","D","Dion","Phaneuf","2","70","4000","MON@TOR","TOR","MON","","","",""
"40036","RW","Tomas","Hertl","1.6","82","4000","SJ@LA","SJ","LA","","","",""
"11201","D","Jeff","Petry","1.1","78","4000","MON@TOR","MON","TOR","","","",""
"53527","LW","Marko","Dano","2.8","35","4000","NYR@CHI","CHI","NYR","","","",""
"9104","C","David","Desharnais","2.2","82","4000","MON@TOR","MON","TOR","","","",""
"39234","LW","Matthew","Nieto","1.6","72","4000","SJ@LA","SJ","LA","","","",""
"8139","RW","Joffrey","Lupul","1.6","55","3900","MON@TOR","TOR","MON","","","",""
"9290","LW","Bryan","Bickell","1.6","80","3900","NYR@CHI","CHI","NYR","","","",""
"9330","D","Yannick","Weber","1.8","65","3900","VAN@CGY","VAN","CGY","","","",""
"12710","LW","Lance","Bouma","1.9","78","3900","VAN@CGY","CGY","VAN","","","",""
"23053","RW","Jesper","Fast","1","58","3900","NYR@CHI","NYR","CHI","","","",""
"9990","LW","Lars","Eller","1.7","77","3900","MON@TOR","MON","TOR","","","",""
"14155","C","Mark","Arcobello","1.7","77","3800","MON@TOR","TOR","MON","","","",""
"8708","D","Christian","Ehrhoff","1.8","49","3800","SJ@LA","LA","SJ","","","",""
"54867","RW","Melker","Karlsson","2","53","3800","SJ@LA","SJ","LA","DTD","Undisclosed","",""
"8402","RW","Dustin","Brown","1.6","82","3800","SJ@LA","LA","SJ","","","",""
"42970","C","Josh","Jooris","1.7","60","3800","VAN@CGY","CGY","VAN","","","",""
"8516","C","Artem","Anisimov","1.8","52","3800","NYR@CHI","CHI","NYR","","","",""
"8469","D","Kevin","Klein","1.9","65","3800","NYR@CHI","NYR","CHI","","","",""
"8486","D","Paul","Martin","1.2","74","3800","SJ@LA","SJ","LA","","","",""
"43178","C","Teuvo","Teravainen","1.6","34","3800","NYR@CHI","CHI","NYR","","","",""
"11152","RW","Zack","Kassian","1.9","42","3800","MON@TOR","MON","TOR","","","",""
"8700","LW","Mason","Raymond","1.8","57","3800","VAN@CGY","CGY","VAN","DTD","Undisclosed","",""
"8628","D","Marc-Edouard","Vlasic","1.6","70","3800","SJ@LA","SJ","LA","","","",""
"8810","RW","Michael","Grabner","1.9","34","3700","MON@TOR","TOR","MON","","","",""
"8526","D","Daniel","Girardi","1.3","82","3700","NYR@CHI","NYR","CHI","DTD","Knee","",""
"8459","RW","Joel","Ward","1.8","82","3700","SJ@LA","SJ","LA","","","",""
"8642","RW","Brad","Boyes","2.2","78","3700","MON@TOR","TOR","MON","","","",""
"9119","D","Kyle","Cumiskey","0.1","7","3700","NYR@CHI","CHI","NYR","O","Undisclosed","",""
"8285","RW","David","Jones","1.8","67","3600","VAN@CGY","CGY","VAN","","","",""
"8237","C","Brandon","Sutter","2.1","80","3600","VAN@CGY","VAN","CGY","","","",""
"12793","D","Brayden","McNabb","1.5","71","3600","SJ@LA","LA","SJ","","","",""
